Gender,Age,Height,Weight,BMI,BMIcase
Female,59,176.0249514,92.0851902,29.71948799,over weight
Female,25,159.5498708,61.08912444,23.99777555,normal
Female,50,181.6538313,82.45403663,24.98749946,normal
Female,62,179.0696455,101.7133061,31.72004707,obese
Male,57,196.9725632,99.60952716,25.67375577,over weight
Male,46,185.277777,99.04124818,28.85156942,over weight
Female,35,154.3259314,62.34733665,26.17821875,over weight
Male,24,182.5479895,89.72590622,26.92549802,over weight
Female,19,147.5992191,62.03876908,28.4770536,over weight
Female,38,153.6075421,67.67561247,28.681847,over weight
Male,34,194.5391442,107.9969223,28.53628126,over weight
Male,22,196.1906803,82.82628328,21.5184719,normal
Female,65,143.4502995,70.47653237,34.24850424,obese
Male,46,184.6975337,73.34722538,21.50114051,normal
Female,32,161.9256312,83.73327444,31.93499686,obese
Female,55,167.4849421,81.76374638,29.14803267,over weight
Male,48,190.8509199,78.62034191,21.58471968,normal
Female,37,175.5071327,107.5938459,34.92994398,severe obese
Female,35,182.3244974,92.79091692,27.91357208,severe obese
Female,52,156.8532782,79.39268874,32.26957981,obese
Male,27,176.8747111,79.17277465,25.30721636,over weight
Male,23,178.1180629,90.94434371,28.66551616,over weight
Female,54,181.6384463,103.9980384,31.52169705,severe obese
Female,44,166.7450657,70.92278162,25.50819792,over weight
Female,42,168.2288501,95.54377863,33.75992399,obese
Female,40,171.4944219,93.46357429,31.77915817,obese
Female,46,165.907713,75.53521253,27.44203426,over weight
Male,43,193.0448666,75.85228737,20.35411232,normal
Male,49,172.8364392,90.16907158,30.18470789,obese
Male,64,174.2054965,95.9933866,31.63134115,obese
Male,41,190.853916,85.85827471,23.57110848,normal
Male,27,194.5866432,97.39804516,25.72315223,over weight
Female,41,146.3939207,69.95417071,32.64130609,obese
Male,52,179.6820539,106.7150373,33.05340567,obese
Female,45,147.909257,55.68302491,25.45259745,over weight
Female,54,156.4827996,65.54053725,26.76558761,over weight
Female,38,161.8686983,83.51422702,31.87386416,severe obese
Female,36,179.6111304,95.86073217,29.7148984,over weight
Female,61,150.112821,71.56513974,31.75893647,obese
Male,58,180.3427982,50.23352307,15.44528869,sever thinness
Female,41,182.7001938,63.52949118,19.03256673,normal
Female,65,182.9761919,58.13286102,17.36331034,mild thinness
Male,55,175.0529237,74.61466629,24.34924298,normal
Female,46,161.0488223,89.71598685,34.59033211,severe obese
Female,65,164.8706016,90.24667177,33.20050955,severe obese
Male,42,181.5337095,96.29567103,29.22080658,over weight
Female,27,162.7109073,63.04900538,23.81468855,normal
Female,56,161.0962039,75.13442246,28.95131795,over weight
Female,22,140.1962832,54.43046228,27.6929373,over weight
Male,29,179.9178375,67.96557741,20.99619347,normal
Male,49,181.42565,72.87722611,22.14085862,normal
Female,32,179.7675795,100.4386578,31.07979594,severe obese
Female,40,164.7120303,68.95487349,25.41641689,over weight
Male,54,191.0820192,59.73373271,16.35987611,moderate thinness
Female,38,166.8091532,86.127112,30.95281339,severe obese
Female,65,154.2503495,57.9826502,24.36945117,normal
Male,48,194.8088477,69.6443804,18.35137982,mild thinness
Female,43,140.2599153,59.56960815,30.28012048,obese
Female,19,171.0190206,94.00141138,32.13997571,severe obese
Female,63,139.6166368,58.58150874,30.05288767,obese
Male,62,177.3105206,85.45909463,27.18249256,over weight
Female,60,167.4269604,63.1969017,22.54472809,normal
Male,27,184.6463074,65.7926542,19.29728243,normal
Male,55,172.8137415,83.55031235,27.97638086,over weight
Male,65,197.704788,53.2688779,13.6282212,sever thinness
Female,20,181.796568,105.7346007,31.99232251,severe obese
Female,58,164.254082,88.82961783,32.9249748,obese
Female,63,159.1765687,66.38289305,26.19979532,over weight
Female,56,181.2226486,90.77067112,27.63889013,severe obese
Female,30,179.7633171,81.98351435,25.37022884,over weight
Female,30,177.9204642,96.94983248,30.62635111,severe obese
Female,65,146.4464853,60.31451426,28.12314775,over weight
Male,21,175.5515519,90.45969687,29.35254633,over weight
